Département,Numéro Circonscription,Numéro Panneau,Nom,Prénom,Civilité,Nuance Ministère,Nuance agrégée par Le Monde,Parti agrégé par Le Monde
075,02,11,MAGNE,Elise,Mme,DIV,div.,divers inclassable
075,02,1,ROSSET,Marine,Mme,NUP,PS-Nupes,Parti socialiste
075,03,6,BOUGERET,Alix,Mme,LR,LR,Les Républicains
075,03,5,IKUESAN,Ayodele,Mme,DVG,div. g.,Divers gauche
075,03,3,BAFFIE,Laurent,M.,ECO,Anim.,Parti animaliste
075,03,10,BALAGE EL MARIKY,Léa,Mme,NUP,EELV-Nupes,Europe Ecologie-Les Verts
075,03,7,GUERINI,Stanislas,M.,ENS,LRM-Ensemble,La République en marche
075,03,2,BURTAIRE,Laurent,M.,DXG,LO,Lutte ouvrière
075,03,8,PLANTEVIN,Marguerite,Mme,DXG,POID,Parti ouvrier indépendant démocratique
075,03,9,FISCHER,Cécile,Mme,REC,Rec.,Reconquête !
075,03,4,MICHALET,Christine,Mme,DIV,div.,divers inclassable
075,03,1,EUPHRASIE,Marie-Emilie,Mme,RN,RN,Rassemblement national
075,04,13,KUSTER,Brigitte,Mme,LR,LR,Les Républicains
075,04,1,BONILLA,Dayana,Mme,ECO,Anim.,Parti animaliste
075,04,2,PERREAU,Jérôme,M.,DVC,Rés.,Résistons !
075,04,6,ECLOU,Chantal,Mme,ECO,EAC,Ecologie au centre
075,04,7,LAVENIER,Annie Marcelle Mauricette,Mme,RN,RN,Rassemblement national
075,04,9,FREUDBERG,Francine,Mme,DVC,div. c.,divers centre
075,04,4,PANOSYAN-BOUVET,Astrid,Mme,ENS,LRM-Ensemble,La République en marche
075,04,8,SHNORHOKIAN,Garen,M.,REC,Rec.,Reconquête !
075,04,10,TOUATI,Adrien,M.,DIV,Pirate,Parti Pirate
075,04,3,BRITEL,Karim,M.,DVD,div. d.,divers droite
075,04,5,DEPRAZ,Natalie,Mme,NUP,LFI-Nupes,La France insoumise
075,04,11,LÉVENARD,Pierre,M.,DXG,LO,Lutte ouvrière
075,04,12,GUILLAS-CAVAN,Kevin,M.,DVG,div. g.,Divers gauche
075,05,4,VOGT,Marguerite,Mme,RN,RN,Rassemblement national
075,05,10,BAYOU,Julien,M.,NUP,EELV-Nupes,Europe Ecologie-Les Verts
075,05,2,ABEL,Arnaud,M.,DVC,LRM dis.,dissident La République en marche
075,05,1,MEDDAH,Assia,Mme,RDG,PRG,Parti radical de gauche
075,05,5,MAURIN,Pierre,M.,DVD,LCen.,Les Centristes
075,05,6,GAUTIER,Yann,M.,REC,Rec.,Reconquête !
075,05,7,FAJGELES,Elise,Mme,ENS,LRM-Ensemble,La République en marche
075,05,8,DABAT,Monique,Mme,DXG,LO,Lutte ouvrière
075,05,11,JOUVEAU,Marie-Jeanne,Mme,DIV,Pirate,Parti Pirate
075,05,9,BALLON,Jean,M.,ECO,Anim.,Parti animaliste
075,05,3,GILLE,Annaëlle,Mme,UDI,UDI,Union des démocrates et indépendants
075,06,8,MARTIN,Jean-Christophe,M.,LR,LR,Les Républicains
075,06,1,HUYNH THI (BOZZI),Marie Rosette,Mme,RN,RN,Rassemblement national
075,06,2,BONZANI,Laurence,Mme,ECO,écol.,divers écologistes
075,06,6,BERROUBA,Yasmin,Mme,DVC,div. c.,divers centre
075,06,10,FREMION,Yves,M.,ECO,écol.,divers écologistes
075,06,12,VAN DEN BROUCKE,Romain,M.,ECO,Anim.,Parti animaliste
075,06,4,CHIKIROU,Sophia,Mme,NUP,LFI-Nupes,La France insoumise
075,06,3,BARGETON,Julien,M.,ENS,LRM-Ensemble,La République en marche
075,06,5,MELDENER,Victor,M.,REC,Rec.,Reconquête !
075,06,11,DUPUY,Charles,M.,DXG,POID,Parti ouvrier indépendant démocratique
075,06,7,GODDE,Anne-Catherine,Mme,DXG,LO,Lutte ouvrière
075,06,9,BORSELLINO,Jennifer,Mme,DIV,Pirate,Parti Pirate
075,07,11,VÉRON,Aurélien,M.,LR,LR,Les Républicains
075,07,4,LAENG,Isabelle Dite Cindy'Lee,Mme,DIV,div.,divers inclassable
075,07,5,CLAUDIO,Louis,M.,DVC,div. c.,divers centre
075,07,8,CHAMEROY,Gaspard,M.,ECO,écol.,divers écologistes
075,07,9,MOULINS,Thomas,M.,ECO,Anim.,Parti animaliste
